name,state,country,latitude,longitude,population
Vatican City,,Holy See (Vatican City State),41.9025,12.4525,50000
Funafuti,,Tuvalu,-8.516667,179.2,50000
Yaren,,Nauru,-0.5477,166.920867,50000
Monaco,,Monaco,43.731111,7.42,50000
South Tarawa,,Kiribati,1.433333,173.0,50000
Malé,,Maldives,4.175278,73.508889,50000
Itajaí,,,-26.9113112,-48.6708521,50000
London,,United Kingdom,51.5073219,-0.1276474,50000
Wellington,,New Zealand,-41.2887639,174.7772239,50000
Leeds,,United Kingdom,53.7974185,-1.5437941,50000
Athens,,Greece,37.9841493,23.7279843,50000
Baltimore,,,39.2908608,-76.6108073,50000
Bath,,United Kingdom,51.3813864,-2.3596963,50000
St. David's,,,51.8812739,-5.2659077,50000
Ljubljana,,Slovenia,46.049865,14.5068921,50000
Chester,,,53.1908873,-2.8908955,50000
Charleroi,,,50.4120332,4.4436244,50000
Limassol,,Cyprus,34.6735637,33.042341,50000
Leicester,,,52.6367811,-1.1312289,50000
Lincoln,,,53.2336301,-0.5392172,50000
Nyköping,,Sweden,58.7544913,17.0118143,50000
Glasgow,,,55.861147,-4.2499891,50000
Norwich,,,52.6286576,1.2922681,50000
Oxford,,,51.7521553,-1.2582135,50000
Copenhagen,,,55.6867243,12.5700724,50000
Sydney,,Australia,-33.8548157,151.2164539,50000
Quezon City,,,14.6510101,121.0486031,50000
İskenderun,,Türkiye,36.57806,36.1748446,50000
Helsingborg,,,56.0441984,12.7040684,50000
Wells,,,51.2084734,-2.6517961,50000
Mumbai,,India,18.9523804,72.8327112,50000
New Delhi,,India,28.6138967,77.2159562,50000
Pune,,India,18.5206437,73.8544051,50000
Islamabad,,,33.6947961,73.0645266,50000
Lahore,,,31.5621916,74.3228517,50000
Erlangen,,,49.5980945,11.0036614,50000
Vienna,,Austria,48.2083537,16.3725042,50000
Pécs,,,46.0762962,18.228147,50000
Portsmouth,,United Kingdom,50.8065304,-1.0743982,50000
Paris,,France,48.8565056,2.3521334,50000
Gloucester,,,51.8629188,-2.2466485,50000
Coventry,,,52.4081812,-1.510477,50000
Birmingham,,,52.4813679,-1.8980726,50000
Edinburgh,,,55.9483399,-3.1932723,50000
Canterbury,,,51.2800275,1.0802533,50000
Peterborough,,,52.5738875,-0.2416701,50000
Plymouth,,United Kingdom,50.3712659,-4.1425658,50000
Exeter,,United Kingdom,50.7256471,-3.5266611,50000
Toronto,,,43.6529206,-79.3849008,50000
Hildesheim,,,52.1532179,9.9523941,50000
Bern,,Switzerland,46.9482759,7.4515008,50000
Ottawa,,Canada,45.4210328,-75.6900219,50000
Cleveland,,,41.4871888,-81.6778691,50000
Toledo,,United States,41.6786754,-83.5127283,50000
Detroit,,,42.3486635,-83.0567375,50000
Hamilton,,,43.254687,-79.8678197,50000
Cambridge,,,43.3842987,-80.3098064,50000
Parramatta,,Australia,-33.8139843,151.002666,50000
Duluth,,,46.7729322,-92.1251218,50000
Sault Sainte Marie,,,46.5117466,-84.3161697,50000
Thunder Bay,,,48.4061651,-89.2591415,50000
Green Bay,,,44.5299412,-88.0248317,50000
Toowoomba,,Australia,-27.5648552,151.9542619,50000
Lyon,,,45.7575958,4.8323239,50000
Chemnitz,,,50.8322608,12.9252977,50000
